disposicion_literatura,disposicion_kepler,confianza_disposicion,columna_fpflag_nt,columna_fpflag_ss,columna_fpflag_co,columna_fpflag_ec,periodo_orbital,columna_period_err1,columna_period_err2,columna_time0bk,columna_time0bk_err1,columna_time0bk_err2,columna_impact,columna_impact_err1,columna_impact_err2,duracion_transito,columna_duration_err1,columna_duration_err2,profundidad_transito,columna_depth_err1,columna_depth_err2,radio_planeta,columna_prad_err1,columna_prad_err2,columna_teq,columna_insol,columna_insol_err1,columna_insol_err2,columna_model_snr,columna_tce_plnt_num,temperatura_estrella,columna_steff_err1,columna_steff_err2,gravedad_superficial,columna_slogg_err1,columna_slogg_err2,radio_estrella,columna_srad_err1,columna_srad_err2,ascension_recta,declinacion,magnitud_kepler
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000071,0.000162,0.999838,0.036999,0.00378,0.99622,0.001448,0.003718,0.997539,0.02098,0.004054,0.995946,0.0004,0.00005,0.99995,0.000011,0.000012,0.999998,0.052452,0.000009,0.000008,0.999997,0.003954,0,0.211107,0.119822,0.95403,0.831296,0.043478,0.920464,0.00356,0.003173,0.999475,0.552473,0.733837,15.347
CONFIRMED,CANDIDATE,0.969,0,0,0,0,0.000417,0.001438,0.998562,0.031063,0.006171,0.993829,0.005813,0.00069,0.992532,0.032169,0.005743,0.994257,0.000568,0.000091,0.999909,0.000014,0.000015,0.999998,0.028548,0.000001,0.000001,1,0.002849,0.142857,0.211107,0.119822,0.95403,0.831296,0.043478,0.920464,0.00356,0.003173,0.999475,0.552473,0.733837,15.347
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,0,0,0.000151,0.000087,0.999913,0.040928,0.001005,0.998995,0.009613,0.059925,0.998702,0.012494,0.001688,0.998312,0.007025,0.00044,0.99956,0.000072,0.000181,0.999983,0.041866,0.000004,0.000009,0.999998,0.008427,0,0.241179,0.233728,0.900114,0.845778,0.029891,0.854184,0.003303,0.007041,0.999328,0.784346,0.73336,15.436
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,0,0,0.000012,0,1,0.036828,0.000186,0.999814,0.012658,0.001344,0.998449,0.017001,0.000266,0.999734,0.005241,0.000033,0.999967,0.000167,0.000393,0.999963,0.093566,0.000081,0.000185,0.999959,0.055838,0,0.237552,0.232249,0.901249,0.849539,0.036005,0.860812,0.002968,0.006074,0.999423,0.259826,0.742947,15.597
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000018,0.000023,0.999977,0.037781,0.00197,0.99803,0.006954,0.002747,0.991942,0.011571,0.002079,0.997921,0.000391,0.000043,0.999957,0.000013,0.000041,0.999995,0.094318,0.000085,0.000242,0.999944,0.004517,0,0.254628,0.25,0.88025,0.825842,0.047554,0.826015,0.004077,0.010093,0.998855,0.407085,0.739203,15.509
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000083,0.000116,0.999884,0.037489,0.002462,0.997538,0.005337,0.000351,0.992785,0.032801,0.00302,0.99698,0.000984,0.000062,0.999938,0.000019,0.000059,0.999995,0.05532,0.00001,0.000031,0.999993,0.007344,0,0.255761,0.279586,0.868331,0.834869,0.036685,0.810273,0.003755,0.009519,0.999096,0.751481,0.739105,15.714
CONFIRMED,CANDIDATE,1,0,0,0,0,0.00003,0.000058,0.999942,0.038804,0.003323,0.996677,0.007559,0.001625,0.991032,0.022299,0.003332,0.996668,0.000445,0.000048,0.999952,0.000013,0.000042,0.999996,0.077517,0.000039,0.000116,0.999976,0.00444,0.142857,0.255761,0.279586,0.868331,0.834869,0.036685,0.810273,0.003755,0.009519,0.999096,0.751481,0.739105,15.714
CONFIRMED,CANDIDATE,0.992,0,0,0,0,0.000018,0.000104,0.999896,0.043667,0.008086,0.991914,0.00749,0.002478,0.991183,0.017164,0.008168,0.991832,0.000147,0.000043,0.999957,0.000008,0.000024,0.999998,0.091176,0.000074,0.000219,0.999954,0.001657,0.285714,0.255761,0.279586,0.868331,0.834869,0.036685,0.810273,0.003755,0.009519,0.999096,0.751481,0.739105,15.714
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,1,0,0.000055,0.000122,0.999878,0.008679,0.004431,0.995569,0.011597,0.083388,0.999258,0.035888,0.006733,0.993267,0.000152,0.000015,0.999985,0.000195,0.000298,0.999875,0.089947,0.00007,0.000097,0.999935,0.005268,0,0.269437,0.164201,0.929625,0.740831,0.123641,0.918807,0.008046,0.009731,0.995841,0.86938,0.353723,12.66
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000122,0.000064,0.999936,0.039279,0.000893,0.999107,0.000516,0.003063,0.999123,0.025148,0.001193,0.998807,0.003188,0.000086,0.999914,0.000028,0.00001,0.999994,0.039271,0.000003,0.000001,0.999999,0.01788,0,0.179071,0.110947,0.952894,0.834681,0.056386,0.976802,0.003216,0.000997,0.99938,0.326813,0.748695,15.841
